Unit Type,Sub Unit,RS,Name,Model,SZ,MV,Arm,Thr,Str,S,M,L,E,OV,Point,Abilites
BattleMech,BattleMech,RS3050U-I,Clint,CLNT-2-3U,2,6j,2,0,3,2,2,1,0,1,11,"ENE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Clint,CLNT-2-3UL,2,6j,2,0,3,2,2,0,0,0,12,"ENE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3039,Clint,CLNT-2-4T,2,6,2,0,3,1,1,1,0,0,6,"SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Clint,CLNT-3-3T,2,6j,4,0,3,2,2,0,0,0,9,"CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Clint,CLNT-5U,2,6j,4,0,2,2,2,1,0,1,13,"ENE,TAG,C3S,MHQ1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Clint,CLNT-6S,2,7,4,0,2,3,3,2,0,0,13,"ENE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3060u,Clint IIC,2,2,6/8j,4,0,2,4,4,0,0,0,19,"ENE,ECM,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3060u,Clint IIC,(Standard),2,6j,4,0,2,2,2,1,0,1,14,"FLK1/1/1,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3060u,Cobra,CBR-02,2,5,4,0,4,1,1,0,0,0,11,"LRM 1/2/2,IF2,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3060u,Cobra,CBR-03,2,5,4,0,2,3,4,3,0,0,13,"IF2,CASE,SRCH,SOA,SEAL,ES"
Combat Vehicle,VTOL,RS3075u,Cobra Transport VTOL,(Command),1,8v,2,0,2,1,1,0,0,0,4,"RCN,MHQ7,AMS,IT3,SRCH,ATMO"
Combat Vehicle,VTOL,RS3075u,Cobra Transport VTOL,(MASH),1,8v,2,0,2,1,1,0,0,0,4,"AMS,IT9,SRCH,ATMO"
Combat Vehicle,VTOL,RS3075u,Cobra Transport VTOL,(Standard),1,8v,2,0,2,1,1,0,0,0,4,"AMS,IT10,SRCH,ATMO"
BattleMech,BattleMech,RS3055Uu,Colossus,CL-P3,4,3j,10,0,8,4,4,0,0,0,20,"AC2/2/0,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Colossus,CLS-4S,4,3j,10,0,8,2,2,0,0,2,24,"FLK1/1/0,CASE,MEL,SHLD,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Colossus,CLS-5S,4,3j,10,0,8,4,5,4,0,0,27,"CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Commando,COM-1B,1,6,2,0,2,2,2,0,0,0,6,"SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3039,Commando,COM-1D,1,6,2,0,2,2,2,0,0,0,6,"SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3039,Commando,COM-2D,1,6,2,0,2,1,1,0,0,0,5,"SRM 1/1/0,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3039,Commando,COM-3A,1,6,2,0,2,1,1,0,0,0,5,"SRM 1/1/0,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Commando,COM-4H,1,6,2,0,2,2,2,0,0,0,7,"SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Commando,COM-5S,1,6,2,0,2,2,2,0,0,0,6,"CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Commando,COM-7B,1,6/3j,2,0,1,1,1,0,0,0,6,"SRM 1/1/0,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Commando,COM-7S,1,6,2,0,1,3,3,0,0,0,7,"CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3060u,Commando IIC,(Standard),1,6,2,0,2,2,2,0,0,0,10,"SRM 3/3/0,CASE,SRCH,SOA,SEAL,ES"
Combat Vehicle,Hover,RS3039,Condor Heavy Hover Tank,(Davion),2,8h,3,0,3,1,0,0,0,0,6,"TUR(AC1/1/1),SRCH,EE"
Combat Vehicle,Hover,RS3039,Condor Heavy Hover Tank,(Liao),2,8h,5,0,3,0,0,0,0,0,8,"TUR(2/2/0),ENE,SRCH,EE,CT0.1"
Combat Vehicle,Hover,RS3039,Condor Heavy Hover Tank,(Standard),2,8h,3,0,3,1,0,0,0,0,7,"TUR(2/2/1),SRCH,EE,CT0.3"
Combat Vehicle,Hover,RS3075u,Condor Heavy Hover Tank,(Upgrade Laser),2,9h,4,0,3,2,1,1,0,0,12,"TUR(1/1/1,IF1),ECM,AMS,SRCH"
Combat Vehicle,Hover,RS3075u,Condor Heavy Hover Tank,(Upgrade),2,9h,4,0,3,1,1,1,0,0,10,"TUR(1/1/1,IF1),SRCH"
Combat Vehicle,Wheeled,RS3039,Coolant Truck,"135-K "Lifesaver"",1,4w,4,0,2,0,0,0,0,0,3,"TUR(1/0/0),SRCH,EE"
BattleMech,BattleMech,RS3055Uu,Copperhead,CPR-HD-002,1,6/1j,3,0,1,4,3,0,0,0,8,"SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Copperhead,CPR-HD-003,1,8/1j,2,0,1,3,3,0,0,0,11,"SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Copperhead,CPR-HD-004,1,8,2,0,1,3,3,0,0,0,12,"SRCH,SOA,SEAL,ES"
Aerospace,OmniFighter,,Corax,CRX-O,1,9a,5,1,5,2,2,0,0,0,9,"VSTOL,SPC,BOMB2"
Aerospace,OmniFighter,,Corax,CRX-OA,1,9a,5,1,5,2,2,0,0,0,7,"VSTOL,SPC,BOMB2,PNT1"
Aerospace,OmniFighter,,Corax,CRX-OB,1,9a,5,1,5,4,4,0,0,0,11,"VSTOL,SPC,BOMB2,PNT1"
Aerospace,OmniFighter,,Corax,CRX-OC,1,9a,5,1,5,2,2,0,0,0,7,"VSTOL,SPC,BOMB2"
Infantry,Battle Armor,RS 3075,Corona,,1,2,1,,2,3,3,0,0,0,7,"MEC,CAR5,AM"
Infantry,Battle Armor,RS 3075,Corona,(SRM),1,2,1,,2,4,3,0,0,0,5,"MEC,CAR5,AM,HT1"
Aerospace,Aerospace Fighter,RSUF,Corsair,"(Bob) "Roswell"",2,6a,7,1,3,0,0,0,0,0,13,"VSTOL,SPC,BOMB3"
Aerospace,Aerospace Fighter,RS3039,Corsair,CSR-V12,2,6a,7,1,3,3,3,0,0,0,12,"VSTOL,SPC,BOMB3,PNT2"
Aerospace,Aerospace Fighter,RS3039,Corsair,"CSR-V12M "Regulus"",2,6a,8,1,3,3,2,0,0,0,11,"VSTOL,SPC,BOMB3,PNT1"
Aerospace,Aerospace Fighter,RS3039,Corsair,CSR-V14,2,6a,7,1,3,4,3,2,0,0,13,"VSTOL,SPC,BOMB3,PNT2"
Aerospace,Aerospace Fighter,RS3039,Corsair,CSR-V18,2,6a,8,1,3,3,3,3,0,0,15,"VSTOL,SPC,BOMB3,PNT1"
Aerospace,Aerospace Fighter,RS3039,Corsair,CSR-V20,2,6a,7,1,3,3,3,0,0,0,11,"VSTOL,SPC,BOMB3"
BattleMech,BattleMech,RS3060u,Corvis,2,2,4j,4,0,3,4,4,2,0,0,15,"FLK2/1/1,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3060u,Corvis,(Standard),2,4j,4,0,3,4,4,2,0,0,13,"CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3060u,Cossack,C-1FC,1,6j,2,0,1,2,1,1,0,0,5,"SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3060u,Cossack,C-SK1,1,6j,2,0,1,2,2,0,0,0,5,"SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3060u,Cougar,A,1,5,4,0,2,5,5,3,0,0,17,"IF3,CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3060u,Cougar,B,1,5,4,0,2,4,4,3,0,0,18,"ENE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3060u,Cougar,C,1,5,4,0,2,4,5,2,0,0,18,"CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3060u,Cougar,D,1,5,4,0,2,3,3,3,0,0,13,"SRM 1/1/0,CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3060u,Cougar,E,1,5,4,0,2,6,5,1,0,0,14,"CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3060u,Cougar,F,1,5j,4,0,2,5,3,0,0,0,14,"CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3060u,Cougar,G,1,5,4,0,2,3,3,3,0,0,15,"FLK1/1/1,IF1,CASE,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3060u,Cougar,H,1,5/3j,4,0,2,4,4,1,0,0,13,"CASE,ECM,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3060u,Cougar,Prime,1,5,4,0,2,2,2,2,0,1,15,"LRM 1/1/1,IF1,CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3039,Crab,CRB-20,2,5,5,0,4,3,2,0,0,1,11,"ENE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-C,Crab,CRB-27,2,5,5,0,4,3,2,0,0,1,12,"ENE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3075u,Crab,CRB-27b,2,5,5,0,4,3,3,2,0,0,13,"ENE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-C,Crab,CRB-30,2,5,5,0,2,3,3,2,0,0,15,"ENE,ECM,C3I,MHQ2,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-C,Crab,CRB-45,2,6,5,0,2,2,3,3,0,0,13,"ENE,C3I,MHQ2,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-C,Crab,CRB-C,2,5,5,0,4,2,2,0,0,0,11,"ENE,C3S,MHQ1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3075u,Crimson Hawk,2,1,5j,3,0,1,2,2,0,0,2,13,"ENE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3075u,Crimson Hawk,3,1,5/6j,3,0,1,2,2,1,0,0,10,"ENE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3075u,Crimson Hawk,(Standard),1,5j,3,0,1,2,2,2,0,0,13,"ENE,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,,Crimson Langur,A,2,7,6,0,3,1,1,1,0,0,20,"LRM 2/2/2,IF2,CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,,Crimson Langur,B,2,7j,6,0,3,4,3,1,0,1,22,"CASE,RCN,OMNI,LPRB,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,,Crimson Langur,C,2,7,6,0,3,4,2,2,0,0,14,"CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3039,Crockett,CRK-5003-0,4,3j,9,0,7,3,3,0,0,2,17,"SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-C,Crockett,CRK-5003-1,4,3j,9,0,7,3,2,2,0,2,19,"SRM 1/1/0,FLK1/1/1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSOK,Crockett,CRK-5003-1b,4,3j,9,,7,2,2,1,,4,23,"SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-C,Crockett,CRK-5003-3,4,3j,9,0,7,3,2,2,0,2,20,"SRM 1/1/0,FLK1/1/1,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-C,Crockett,CRK-5003-4,4,3j,9,0,7,3,3,2,0,0,20,"SRM 1/1/0,FLK1/1/1,CASE,C3I,MHQ2,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-C,Crockett,CRK-5005-1,4,3/5j,9,0,5,2,2,2,0,1,19,"SRM 1/1/0,FLK1/1/1,CASE,C3I,MHQ2,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,,Cronus,CNS-3M,2,5j,6,0,5,2,2,0,0,1,--,"SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,,Cronus,CNS-5M,2,6j,6,0,3,3,3,1,0,1,--,"CASE,C3S,MHQ1,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3058Uu,Crossbow,A,3,5,6,0,5,5,5,1,0,0,18,"IF1,CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3058Uu,Crossbow,B,3,5,6,0,5,5,5,0,0,0,17,"CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3058Uu,Crossbow,C,3,5,6,0,5,4,2,1,0,0,16,"CASE,ECM,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3075u,Crossbow,CRS-6B,3,5,4,0,5,2,2,1,0,2,12,"IF1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3075u,Crossbow,CRS-6C,3,5,4,0,5,2,2,1,0,1,12,"SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3075u,Crossbow,CRS-9A,3,5,7,0,5,3,3,1,0,2,16,"SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3058Uu,Crossbow,D,3,5,6,0,5,1,2,2,0,0,12,"IF2,CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3058Uu,Crossbow,E,3,5,6,0,5,5,5,0,0,0,16,"CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3058Uu,Crossbow,H,3,5,6,0,5,4,4,1,0,0,17,"IF1,CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3058Uu,Crossbow,Prime,3,5,6,0,5,4,4,4,0,0,18,"IF3,CASE,OMNI,SRCH,SOA,SEAL,ES"
IndustrialMech,IndustrialMech,RSOK,Crosscut LoggerMech,ED-X2,1,3,1,,3,0,0,0,,0,2,"ENE,MEL,BFC,SAW,EE"
IndustrialMech,IndustrialMech,RSOK,Crosscut LoggerMech,ED-X2 (Flamer),1,3,2,,3,1,0,0,,0,2,"MEL,SAW,EE"
IndustrialMech,IndustrialMech,RSOK,Crosscut LoggerMech,ED-X2 (Rocket),1,3,2,,3,1,1,1,,0,4,EE
Combat Vehicle,VTOL,RS3075u,Crow Scout Helicopter,(C3),1,13v,1,0,1,1,1,0,0,0,3,"ENE,ECM,PRB,RCN,C3S,MHQ1,SRCH,ATMO"
Combat Vehicle,VTOL,RS3075u,Crow Scout Helicopter,(Export),1,13v,2,0,1,2,1,1,0,0,4,"SRCH,ATMO"
Combat Vehicle,VTOL,RS3075u,Crow Scout Helicopter,(Standard),1,13v,1,0,1,1,1,0,0,0,3,"ENE,ECM,PRB,RCN,TAG,SRCH,ATMO"
BattleMech,BattleMech,RS3075u,Crusader,CRD-2R,3,4,6,0,5,4,4,2,0,1,15,"IF2,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Crusader,CRD-3D,3,4,6,0,5,2,2,0,0,1,13,"LRM 1/1/1,IF1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Crusader,CRD-3K,3,4,6,0,5,1,1,0,0,0,13,"SRM 1/1/0,LRM 1/1/1,IF1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Crusader,CRD-3L,3,4j,6,0,5,2,3,1,0,1,13,"IF1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Crusader,CRD-3R,3,4,6,0,5,2,2,1,0,2,13,"IF1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Crusader,CRD-4D,3,4,6,0,5,2,3,1,0,1,13,"IF1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Crusader,CRD-4K,3,4,6,0,5,2,3,1,0,1,13,"IF1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Crusader,CRD-5K,3,4j,6,0,3,4,4,0,0,2,15,"CASE,C3S,MHQ1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Crusader,CRD-5M,3,4j,6,0,3,3,2,0,0,0,14,"LRM 1/1/1,IF1,CASE,AMS,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Crusader,CRD-5S,3,4,6,0,5,1,1,0,0,0,14,"SRM 1/1/0,LRM 1/1/1,IF1,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Crusader,CRD-7L,3,3j,7,0,5,2,2,0,0,2,19,"LRM 1/1/1,IF1,CASE,ECM,STL,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Crusader,CRD-7W,3,4,7,0,3,5,4,2,0,1,12,"IF2,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Crusader,CRD-8S,3,4j,6,0,3,4,4,2,0,0,17,"IF1,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Cudgel,CDG-1B,4,6,8,0,4,4,1,0,0,0,13,"MEL,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Cudgel,CDG-2A,4,5,8,0,4,3,3,0,0,1,17,"ENE,TSM,MEL,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Cudgel,CDG-2B,4,5,8,0,4,3,3,0,0,1,17,"TSM,MEL,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3039,Cyclops,CP-10-Q,4,4,9,0,7,2,2,0,0,1,16,"LRM 1/1/1,IF1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3039,Cyclops,CP-10-Z,4,4,5,0,7,2,2,1,0,2,13,"AC1/1/0,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Cyclops,CP-11-A,4,4,5,0,7,4,4,3,0,0,15,"IF1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Cyclops,CP-11-C,4,4,6,0,7,3,4,2,0,0,16,"TAG,C3M,MHQ5,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Cyclops,CP-11-G,4,4,9,0,7,4,4,3,0,0,20,"IF1,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Cyclops,CP-11-H,4,4,7,0,7,2,2,0,0,0,15,"AC2/2/0,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Cyclops,CP-12-K,4,4,7,0,7,5,5,2,0,0,17,"CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3075u,Cygnus,2,4,4,9,0,5,6,5,4,0,3,34,"FLK4/3/3,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3075u,Cygnus,3,4,4,9,0,5,4,4,4,0,0,26,"FLK4/4/4,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3075u,Cygnus,(Standard),4,4,9,0,5,7,7,4,0,0,26,"CASE,SRCH,SOA,SEAL,ES"
Combat Vehicle,VTOL,RS3050U-C,Cyrano Gunship,(ML),1,12v,1,0,2,2,2,1,0,0,6,"PRB,RCN,SRCH,ATMO"
Combat Vehicle,VTOL,RS3050U-C,Cyrano Gunship,(Plasma),1,12v,2,0,2,1,1,0,0,0,9,"ENE,SRCH,ATMO"
Combat Vehicle,VTOL,RS3075u,Cyrano Gunship,(Royal),1,12v,1,0,2,1,1,1,0,0,7,"PRB,RCN,TAG,AMS,SRCH,ATMO"
Combat Vehicle,VTOL,RS3050U-C,Cyrano Gunship,(Standard),1,12v,1,0,2,1,1,0,0,0,4,"ENE,PRB,RCN,SRCH,ATMO"
BattleMech,BattleMech,RS3039/RS3050U-I,Daboku,DCMS-MX90-D,4,3,5,0,7,2,2,1,0,2,13,"IF1,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Daedalus,DAD-3C,2,6j,4,0,2,2,1,0,0,0,11,"SRM 2/2/0,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Daedalus,DAD-3D,2,6j,5,0,2,3,3,0,0,1,17,"ENE,TSM,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Daedalus,DAD-4A,2,8/6j,5,0,2,4,4,0,0,0,15,"TSM,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Daedalus,DAD-4B,2,8/6j,5,0,2,4,4,0,0,0,14,"SRCH,SOA,SEAL,ES"
IndustrialMech,IndustrialMech,RSOK,Daedalus,GTX2 (Militarized),3,4,5,,5,3,2,0,,0,8,"MEL,BFC,ENG,SAW"
IndustrialMech,IndustrialMech,RSOK,Daedalus,"GTX2A "Stevedore"",3,4,5,,5,0,0,0,,0,6,"ENE,BFC"
IndustrialMech,IndustrialMech,RSOK,Daedalus,"GTX2B "Navvy"",3,4,5,,5,0,0,0,,0,7,"ENE,MEL,BFC,ENG"
Aerospace,OmniFighter,,Dagger,DARO-1,2,7a,8,1,4,4,4,0,0,0,18,"VSTOL,SPC,BOMB2"
Aerospace,OmniFighter,,Dagger,DARO-1A,2,7a,8,1,4,3,3,0,0,0,16,"VSTOL,SPC,BOMB2"
Aerospace,OmniFighter,,Dagger,DARO-1B,2,7a,8,1,4,3,3,1,0,0,15,"VSTOL,SPC,BOMB2,FLK1/1/1,PNT1"
BattleMech,BattleMech,RS3055Uu,Daikyu,DAI-01,3,5,6,0,3,3,4,3,0,0,16,"CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSUM,Daikyu,DAI-01 (Tabitha),3,5,7,0,4,3,3,3,0,0,18,"FLK1/1/1,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Daikyu,DAI-02,3,5j,6,0,3,5,5,1,0,0,18,"CASE,C3S,MHQ1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Daikyu,DAI-03,3,6,6,0,4,3,3,1,0,0,17,"CASE,C3S,MHQ1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Daimyo,DMO-1K,2,5,4,0,3,3,3,1,0,0,11,"SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Daimyo,DMO-2K,2,5,4,0,3,3,3,1,0,0,11,"SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Daimyo,DMO-4K,2,5,4,0,3,3,3,1,0,0,12,"ENE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Daimyo,DMO-5K,2,5,4,0,3,2,2,1,0,0,11,"ENE,TAG,C3M,MHQ5,SRCH,SOA,SEAL,ES"
Combat Vehicle,Wheeled,RS3075u,Daimyo HQ,67-K,2,6w,4,0,3,0,0,0,0,0,6,"TUR(2/1/0),MHQ7,IT3,SRCH"
Combat Vehicle,Wheeled,RS3075u,Daimyo HQ,67-K2,2,6w,4,0,3,1,0,0,0,0,6,"TUR(1/1/1),MHQ7,IT3,SRCH"
Combat Vehicle,Wheeled,RS3075u,Daimyo HQ,67-R,2,6w,4,0,3,1,1,1,0,0,7,"TUR(1/1/0),MHQ7,IT3,SRCH"
BattleMech,OmniMech,RS3050U-C,Daishi (Dire Wolf),(Hohiro),4,3,10,0,5,8,8,6,0,0,30,"CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3050U-C,Daishi (Dire Wolf),(Prometheus),4,3,10,0,5,6,6,4,0,3,29,"CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3050U-C,Daishi (Dire Wolf),(Widowmaker),4,3,10,0,5,7,7,4,0,3,30,"CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3050U-C,Daishi (Dire Wolf),A,4,3,10,0,5,7,8,5,0,0,29,"CASE,OMNI,AMS,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3050U-C,Daishi (Dire Wolf),B,4,3,10,0,5,5,5,4,0,2,26,"CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3050U-C,Daishi (Dire Wolf),C,4,3j,10,0,5,9,8,4,0,1,36,"CASE,ECM,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3050U-C,Daishi (Dire Wolf),D,4,3,10,0,5,9,9,5,0,0,34,"FLK5/5/5,CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3050U-C,Daishi (Dire Wolf),H,4,3,10,0,5,7,7,4,0,1,30,"CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3050U-C,Daishi (Dire Wolf),Prime,4,3,10,0,5,6,6,4,0,4,27,"CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3050U-C,Daishi (Dire Wolf),S,4,3j,10,0,5,9,8,2,0,0,30,"FLK1/1/0,CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3050U-C,Daishi (Dire Wolf),W,4,3,10,0,5,7,7,3,0,0,30,"LRM 1/1/1,IF1,CASE,OMNI,SRCH,SOA,SEAL,ES"
Combat Vehicle,Artillery,RS3075u,Danai Support Vehicle,(Standard),2,5w,3,0,3,0,0,0,0,0,6,"TUR(1/1/0),ARTT1,SRCH"
BattleMech,BattleMech,RS3055Uu,Dart,DRT-3S,1,9,2,0,2,1,0,0,0,0,4,"ENE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Dart,DRT-4S,1,9,2,0,2,2,2,0,0,0,7,"ENE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Dart,DRT-6S,1,9,3,0,2,1,1,0,0,0,6,"ENE,SRCH,SOA,SEAL,ES"
Combat Vehicle,Wheeled,RS3075u,Darter Scout Car,(BAP),1,7w,1,0,1,1,0,0,0,0,1,"PRB,RCN,IT1,SRCH,EE"
Combat Vehicle,Wheeled,RS3075u,Darter Scout Car,(C3),1,7w,1,0,1,1,0,0,0,0,1,"C3S,IT1,SRCH,EE"
Combat Vehicle,Wheeled,RS3075u,Darter Scout Car,(ECM),1,7w,1,0,1,1,0,0,0,0,2,"ECM,IT1,SRCH,EE"
Combat Vehicle,Wheeled,RS3075u,Darter Scout Car,(SRM),1,7w,1,0,1,1,1,0,0,0,2,"SRCH,EE"
Combat Vehicle,Wheeled,RS3075u,Darter Scout Car,(Standard),1,7w,1,0,1,1,0,0,0,0,1,"IT3,SRCH,EE"
BattleMech,OmniMech,RS3050U-C,Dasher (Fire Moth),A,1,13,1,0,1,1,1,0,0,0,6,"CASE,PRB,RCN,OMNI,TAG,AMS,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3050U-C,Dasher (Fire Moth),B,1,13,1,0,1,2,2,0,0,0,11,"CASE,ECM,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3050U-C,Dasher (Fire Moth),C,1,13,1,0,1,1,1,1,0,0,8,"IF1,CASE,OMNI,AMS,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3050U-C,Dasher (Fire Moth),D,1,13,1,0,1,4,3,0,0,1,23,"ENE,OMNI,SRCH,SOA,SEAL,ES"
