Faction	Unit Type	Name	BV2	Tonnage	Cost	Rules Level	Tech Base	Source	Date	Era	BV1 (base)	BV1 (C3)	BV1 (total)
Draconis Combine	Aerospace Fighter	Samurai SL-25	TBD	50	2473042	Tournament	IS/Level 1	RS:AT2	2932	3025	969	0	969
Draconis Combine	Aerospace Fighter	Shilone SL-17	TBD	65	3399045	Tournament	IS/Level 1	RS:AT2	2787	3025	1149	0	1149
Draconis Combine	Aerospace Fighter	Shilone SL-17AC	TBD	65	3185720	Tournament	IS/Level 1	RS:AT2	2935	3025	1016	0	1016
Draconis Combine	Aerospace Fighter	Shilone SL-17R	TBD	65	3505045	Tournament	IS/Level 2	RS:AT2	3054	3050	1214	0	1214
Draconis Combine	Aerospace Fighter	Sholagar SL-21	TBD	35	2052353	Tournament	IS/Level 1	RS:AT2	2803	3025	624	0	624
Draconis Combine	Aerospace Fighter	Sholagar SL-21L	TBD	35	2046478	Tournament	IS/Level 1	RS:AT2	2803	3025	734	0	734
Draconis Combine	Aerospace Fighter	Slayer SL-15	TBD	80	4454053	Tournament	IS/Level 1	RS:AT2	2657	2750	1279	0	1279
Draconis Combine	Aerospace Fighter	Slayer SL-15A	TBD	80	4673853	Tournament	IS/Level 1	RS:AT2	2785	3025	1243	0	1243
Draconis Combine	Aerospace Fighter	Slayer SL-15B	TBD	80	4673853	Tournament	IS/Level 1	RS:AT2	2809	3025	1243	0	1243
Draconis Combine	Aerospace Fighter	Slayer SL-15C	TBD	80	4673853	Tournament	IS/Level 1	RS:AT2	2814	3025	1243	0	1243
Draconis Combine	Aerospace Fighter	Slayer SL-15R	TBD	80	4767653	Tournament	IS/Level 2	RS:AT2	3052	3050	1353	0	1353
Draconis Combine	Aerospace Fighter	Sparrowhawk SPR-H5K	TBD	30	1700620	Tournament	IS/Level 1	RS:AT2	3018	3025	505	0	505
Draconis Combine	Aerospace Fighter	Tatsu MIK-O	TBD	70	9889931	Tournament	IS/Level 2	RS:AT2	3063	Present	1301	0	1301
Draconis Combine	Aerospace Fighter	Tatsu MIK-OA	TBD	70	10222369	Tournament	IS/Level 2	RS:AT2	3063	Present	1596	0	1596
Draconis Combine	Aerospace Fighter	Tatsu MIK-OB	TBD	70	11707369	Tournament	IS/Level 2	RS:AT2	3063	Present	1542	0	1542
Draconis Combine	Aerospace Fighter	Tatsu MIK-OC	TBD	70	10158244	Tournament	IS/Level 2	RS:AT2	3063	Present	1466	0	1466
Draconis Combine	BattleMech	Akuma AKU-1X	TBD	90	9502280	Tournament	IS/Level 2	DCMS	3058	Present	1535	0	1535
Draconis Combine	BattleMech	Akuma AKU-1XJ	TBD	90	9736455	Tournament	IS/Level 2	3067	3064	Present	1649	0	1649
Draconis Combine	BattleMech	Archer ARC-2K	TBD	70	6170774	Tournament	IS/Level 1	3025/3026	2950*	3025	977	0	977
Draconis Combine	BattleMech	Archer ARC-9K	TBD	70	TBD	Tournament	IS/Level 3	RSPPU	3071	Present	NA	NA	NA
Draconis Combine	BattleMech	Atlas AS7-C	TBD	100	22960000	Tournament	IS/Level 2	3060	3060	Present	1650	298	1948
Draconis Combine	BattleMech	Atlas AS7-CM	TBD	100	25176000	Tournament	IS/Level 2	3060	3060	Present	1725	250	1975
Draconis Combine	BattleMech	Atlas AS7-K	TBD	100	22392000	Tournament	IS/Level 2	3050	3050	3050	1649	0	1649
Draconis Combine	BattleMech	BattleMaster BLR-CM	TBD	85	13344050	Tournament	IS/Level 2	3067	3067	Present	1651	182	1833
Draconis Combine	BattleMech	BattleMaster BLR-K3	TBD	85	23373764	Tournament	IS/Level 2	3067	3067	Present	1498	291	1789
Draconis Combine	BattleMech	Bishamon BSN-3K	TBD	45	8874000	Tournament	IS/Level 2	3060	3060	Present	1089	0	1089
Draconis Combine	BattleMech	Bishamon BSN-4K	TBD	45	10740875	Tournament	IS/Level 2	3060	3060	Present	932	65	997
Draconis Combine	BattleMech	Black Hawk-KU BHKU-O	TBD	60	14595000	Tournament	IS/Level 2	3055/3058	3058	Present	1510	0	1510
Draconis Combine	BattleMech	Black Hawk-KU BHKU-OA	TBD	60	15162000	Tournament	IS/Level 2	3055/3058	3058	Present	1508	0	1508
Draconis Combine	BattleMech	Black Hawk-KU BHKU-OB	TBD	60	14328000	Tournament	IS/Level 2	3055/3058	3058	Present	1165	0	1165
Draconis Combine	BattleMech	Black Hawk-KU BHKU-OC	TBD	60	14280000	Tournament	IS/Level 2	3055/3058	3058	Present	1485	0	1485
Draconis Combine	BattleMech	Black Hawk-KU BHKU-OD	TBD	60	14586000	Tournament	IS/Level 2	3055/3058	3058	Present	1430	0	1430
Draconis Combine	BattleMech	Black Hawk-KU BHKU-OE	TBD	60	15546000	Tournament	IS/Level 2	3060	3060	Present	1710	0	1710
Draconis Combine	BattleMech	Black Knight BL-6-KNT	TBD	75	6786938	Tournament	IS/Level 2	3050	2578	2570	1191	0	1191
Draconis Combine	BattleMech	Catapult CPLT-C1	TBD	65	5790126	Tournament	IS/Level 1	3025/3026	2561	2570	1165	0	1165
Draconis Combine	BattleMech	Catapult CPLT-K2	TBD	65	5349576	Tournament	IS/Level 1	3025/3026	2950*	3025	1052	0	1052
Draconis Combine	BattleMech	Catapult CPLT-K5	TBD	65	12249876	Tournament	IS/Level 2	Upgrades	3060	Present	1244	151	1395
Draconis Combine	BattleMech	Cauldron-Born A	TBD	65	18614753	Tournament	Clan/Level 2	3055/3058	2950*	2950	1860	0	1860
Draconis Combine	BattleMech	Cauldron-Born B	TBD	65	18756034	Tournament	Clan/Level 2	3055/3058	2950*	2950	2048	0	2048
Draconis Combine	BattleMech	Cauldron-Born C	TBD	65	18013534	Tournament	Clan/Level 2	3055/3058	2950*	2950	1666	0	1666
Draconis Combine	BattleMech	Cauldron-Born Prime	TBD	65	18405409	Tournament	Clan/Level 2	3055/3058	2950*	2950	1769	0	1769
Draconis Combine	BattleMech	Champion CHP-1N	TBD	60	5674400	Tournament	IS/Level 2	3050	2602	2750	942	0	942
Draconis Combine	BattleMech	Charger CGR-1A9	TBD	80	8021371	Tournament	IS/Level 1	3050	3039	3050	1315	0	1315
Draconis Combine	BattleMech	Charger CGR-3K	TBD	80	21228722	Tournament	IS/Level 2	3050	3050	3050	1485	0	1485
Draconis Combine	BattleMech	Charger CGR-C	TBD	80	21624722	Tournament	IS/Level 2	3060	3060	Present	1479	126	1605
Draconis Combine	BattleMech	Chimera CMA-1S	TBD	40	6737500	Tournament	IS/Level 2	Upgrades 	3063	Present	1005	0	1005
Draconis Combine	BattleMech	Chimera CMA-C	TBD	40	7079800	Tournament	IS/Level 2	3067	3063	Present	1007	118	1125
Draconis Combine	BattleMech	Clint CLNT-2-4T	TBD	40	3143280	Tournament	IS/Level 1	3025/3026	2950*	3025	531	0	531
Draconis Combine	BattleMech	Crab CRB-20	TBD	50	3915876	Tournament	IS/Level 1	3025/3026	2950*	3025	921	0	921
Draconis Combine	BattleMech	Crab CRB-27	TBD	50	4050876	Tournament	IS/Level 2	3050	2719	2750	965	0	965
Draconis Combine	BattleMech	Crab CRB-C	TBD	50	4365876	Tournament	IS/Level 2	3060	3060	Present	950	90	1040
Draconis Combine	BattleMech	Crusader CRD-3K	TBD	65	5445111	Tournament	IS/Level 1	3025/3026	2950*	3025	997	0	997
Draconis Combine	BattleMech	Crusader CRD-4K	TBD	65	5489661	Tournament	IS/Level 2	3050	3050	3050	946	0	946
Draconis Combine	BattleMech	Crusader CRD-5K	TBD	65	12309111	Tournament	IS/Level 2	3067	3063	Present	1223	183	1406
Draconis Combine	BattleMech	Cyclops CP-12-K	TBD	90	10084060	Tournament	IS/Level 2	Upgrades	3060	Present	1511	0	1511
Draconis Combine	BattleMech	Daikyu DAI-01	TBD	70	16239308	Tournament	IS/Level 2	3055/3058	3055	Present	1324	0	1324
Draconis Combine	BattleMech	Daikyu DAI-02	TBD	70	17221906	Tournament	IS/Level 2	Upgrades	3060	Present	1714	186	1900
Draconis Combine	BattleMech	Daikyu DAI-03	TBD	70	15864740	Tournament	IS/Level 2	3055U	3067	Present	1439	141	1580
Draconis Combine	BattleMech	Daimyo DMO-1K	TBD	40	3265548	Tournament	IS/Level 2	3055/3058	3053	Present	936	0	936
Draconis Combine	BattleMech	Daimyo DMO-2K	TBD	40	3142348	Tournament	IS/Level 2	3060	3060	Present	928	0	928
Draconis Combine	BattleMech	Daimyo DMO-4K	TBD	40	3167548	Tournament	IS/Level 2	3060	3060	Present	1034	0	1034
Draconis Combine	BattleMech	Daimyo DMO-5K	TBD	40	5177940	Tournament	IS/Level 2	3055U	3067	Present	955	112	1067
Draconis Combine	BattleMech	Dire Wolf (Daishi) Prime	TBD	100	29455000	Tournament	Clan/Level 2	3050	2950*	Present	2341	0	2341
Draconis Combine	BattleMech	Dragon DRG-1C	TBD	60	4899200	Tournament	IS/Level 1	3025/3026	2754	2750	1021	0	1021
Draconis Combine	BattleMech	Dragon DRG-1N	TBD	60	5118400	Tournament	IS/Level 1	3025/3026	2754	2750	952	0	952
Draconis Combine	BattleMech	Dragon DRG-5N	TBD	60	5260480	Tournament	IS/Level 2	3050	3050	3050	1053	0	1053
Draconis Combine	BattleMech	Dragon Fire DGR-3F	TBD	75	15946000	Tournament	IS/Level 2	3055/3058	3058	Present	1618	0	1618
Draconis Combine	BattleMech	Dragon Fire DGR-4F	TBD	75	16093000	Tournament	IS/Level 2	3060	3060	Present	1565	0	1565
Draconis Combine	BattleMech	Excalibur EXC-CS	TBD	70	18494611	Tournament	IS/Level 2	RS3058U	3067*	Present	1553	0	1553
Draconis Combine	BattleMech	Exterminator EXT-4D	TBD	65	15806423	Tournament	IS/Level 2	3050	2630	2750	1220	0	1220
Draconis Combine	BattleMech	Falcon Hawk FNHK-9K1A	TBD	35	4436551	Tournament	IS/Level 2	3055/3058	3058	Present	900	0	900
Draconis Combine	BattleMech	Flashman FLS-8K	TBD	75	17831625	Tournament	IS/Level 2	3050	2701	2750	1409	0	1409
Draconis Combine	BattleMech	Gallowglas GAL-1GLS	TBD	70	6646179	Tournament	IS/Level 2	3055/3058	3055	Present	1497	0	1497
Draconis Combine	BattleMech	Gallowglas GAL-2GLS	TBD	70	6596454	Tournament	IS/Level 2	3055/3058	3055	Present	1664	0	1664
Draconis Combine	BattleMech	Grand Dragon DRG-1G	TBD	60	5212800	Tournament	IS/Level 1	3025/3026	3024	3025	997	0	997
Draconis Combine	BattleMech	Grand Dragon DRG-5K	TBD	60	13354880	Tournament	IS/Level 2	3050	3050	3050	1188	0	1188
Draconis Combine	BattleMech	Grand Dragon DRG-7K	TBD	60	15641280	Tournament	IS/Level 2	Upgrades	3060	Present	1280	165	1445
Draconis Combine	BattleMech	Grand Dragon DRG-C	TBD	60	13690880	Tournament	IS/Level 2	3060	3060	Present	1154	136	1290
Draconis Combine	BattleMech	Grasshopper GHR-6K	TBD	70	7360774	Tournament	IS/Level 2	Upgrades	3060	Present	1484	162	1646
Draconis Combine	BattleMech	Grasshopper GHR-C	TBD	70	6672274	Tournament	IS/Level 2	3060	3060	Present	1219	100	1319
Draconis Combine	BattleMech	Griffin GRF-1DS	TBD	55	10041108	Tournament	IS/Level 2	3050	3050	3050	1202	0	1202
Draconis Combine	BattleMech	Griffin GRF-3M	TBD	55	10250746	Tournament	IS/Level 2	3050	3050	3050	1440	0	1440
Draconis Combine	BattleMech	Griffin GRF-5K	TBD	55	TBD	Tournament	IS/Level 3	RSPPU	3071	Present	NA	NA	NA
Draconis Combine	BattleMech	Griffin GRF-6S	TBD	55	9155540	Tournament	IS/Level 2	3067	3067	Present	1461	0	1461
Draconis Combine	BattleMech	Grim Reaper GRM-R-PR29	TBD	55	10241058	Tournament	IS/Level 2	3055/3058	3052	Present	1118	0	1118
Draconis Combine	BattleMech	Guillotine GLT-3N	TBD	70	6300484	Tournament	IS/Level 2	3050	2499	2570	1296	0	1296
Draconis Combine	BattleMech	Gunslinger GUN-1ERD	TBD	85	16397013	Tournament	IS/Level 2	3055/3058	3055	Present	2176	0	2176
Draconis Combine	BattleMech	Gunslinger GUN-2ERD	TBD	85	19382450	Tournament	IS/Level 2	3055U	3067	Present	2135	312	2447
Draconis Combine	BattleMech	Ha Otoko HKO-1C	TBD	65	11637561	Tournament	IS/Level 2	3060	3060	Present	1082	0	1082
Draconis Combine	BattleMech	Hatamoto-Chi HTM-27T	TBD	80	8236921	Tournament	IS/Level 2	3050	3050	3039	1270	0	1270
Draconis Combine	BattleMech	Hatamoto-Chi HTM-28T	TBD	80	8483400	Tournament	IS/Level 2	Upgrades	3060	Present	1754	266	2020
Draconis Combine	BattleMech	Hatamoto-Hi HTM-27U	TBD	80	8107321	Tournament	IS/Level 2	3050	3050	3039	1251	0	1251
Draconis Combine	BattleMech	Hatamoto-Hi HTM-C	TBD	80	8553721	Tournament	IS/Level 2	3060	3060	Present	1237	190	1427
Draconis Combine	BattleMech	Hatamoto-Hi HTM-CM	TBD	80	10587721	Tournament	IS/Level 2	3060	3060	Present	1238	157	1395
Draconis Combine	BattleMech	Hatamoto-Kaze HTM-27V	TBD	80	8175721	Tournament	IS/Level 2	3050	3050	3039	1302	0	1302
Draconis Combine	BattleMech	Hatamoto-Ku HTM-27W	TBD	80	7904821	Tournament	IS/Level 2	3050	3050	3039	1285	0	1285
Draconis Combine	BattleMech	Hatamoto-Mizo HTM-27Y	TBD	80	8046121	Tournament	IS/Level 2	3050	3050	3039	1311	0	1311
Draconis Combine	BattleMech	Helios HEL-4A	TBD	60	5604800	Tournament	IS/Level 2	3060	3060	Present	1426	0	1426
Draconis Combine	BattleMech	Helios HEL-C	TBD	60	6008000	Tournament	IS/Level 2	3060	3060	Present	1544	175	1719
Draconis Combine	BattleMech	Hermes HER-1S	TBD	30	2701270	Tournament	IS/Level 2	3050	2632	2750	596	0	596
Draconis Combine	BattleMech	Hermes III HER-4K	TBD	40	3200680	Tournament	IS/Level 1	3025/3026	3025	3025	749	0	749
Draconis Combine	BattleMech	Highlander HGN-732	TBD	90	8871480	Tournament	IS/Level 2	3050	2592	2570	1838	0	1838
Draconis Combine	BattleMech	Hitman HM-1	TBD	30	5239520	Tournament	IS/Level 2	3055/3058	3055	Present	704	0	704
Draconis Combine	BattleMech	Hitman HM-2	TBD	30	5689320	Tournament	IS/Level 2	3055U	3067	Present	691	62	753
Draconis Combine	BattleMech	Hussar HSR-200-D	TBD	30	2790840	Tournament	IS/Level 2	3050	2601	2750	577	0	577
Draconis Combine	BattleMech	Hussar HSR-300-D	TBD	30	2563340	Tournament	IS/Level 1	3025/3026	2950*	3025	484	0	484
Draconis Combine	BattleMech	JagerMech JM6-DD	TBD	65	11393526	Tournament	IS/Level 2	3050	3050	3050	713	0	713
Draconis Combine	BattleMech	JagerMech JM6-S	TBD	65	5232426	Tournament	IS/Level 1	3025/3026	2770	2750	749	0	749
Draconis Combine	BattleMech	Javelin JVN-10P	TBD	30	2370940	Tournament	IS/Level 2	3050	3050	3050	514	0	514
Draconis Combine	BattleMech	Jenner JR7-C	TBD	35	3589876	Tournament	IS/Level 2	3060	3060	Present	651	62	713
Draconis Combine	BattleMech	Jenner JR7-D	TBD	35	3198376	Tournament	IS/Level 1	3025/3026	2784	3025	669	0	669
Draconis Combine	BattleMech	Jenner JR7-F	TBD	35	3121426	Tournament	IS/Level 1	3025/3026	2784	3025	792	0	792
Draconis Combine	BattleMech	Jenner JR7-K	TBD	35	3306376	Tournament	IS/Level 2	3050	3050	3050	694	0	694
Draconis Combine	BattleMech	Kabuto KBO-7A	TBD	20	2413041	Tournament	IS/Level 2	3060	3059	Present	448	0	448
Draconis Combine	BattleMech	Katana CRK-5003-2	TBD	85	7737625	Tournament	IS/Level 2	3050	3039	3050	1312	0	1312
Draconis Combine	BattleMech	Katana CRK-5003-C	TBD	85	8214000	Tournament	IS/Level 2	3060	3060	Present	1321	180	1501
Draconis Combine	BattleMech	Katana CRK-5003-CM	TBD	85	10328550	Tournament	IS/Level 2	3060	3060	Present	1331	159	1490
Draconis Combine	BattleMech	King Crab KGC-000	TBD	100	10202000	Tournament	IS/Level 2	3050	2741	2750	1509	0	1509
Draconis Combine	BattleMech	Kintaro KTO-20	TBD	55	4921458	Tournament	IS/Level 2	3050	3039	3050	1081	0	1081
Draconis Combine	BattleMech	Kintaro KTO-C	TBD	55	5251608	Tournament	IS/Level 2	3060	3060	Present	1069	117	1186
Draconis Combine	BattleMech	Komodo KIM-2	TBD	45	7740390	Tournament	IS/Level 2	3055/3058	3055	Present	1340	0	1340
Draconis Combine	BattleMech	Komodo KIM-2A	TBD	45	7740390	Tournament	IS/Level 2	3055/3058	3055	Present	1268	0	1268
Draconis Combine	BattleMech	Komodo KIM-2C	TBD	45	8030390	Tournament	IS/Level 2	3055U	3067	Present	1340	161	1501
Draconis Combine	BattleMech	Komodo KIM-3C	TBD	45	9709490	Tournament	IS/Level 2	3055U	3067	Present	1197	129	1226
Draconis Combine	BattleMech	Lancelot LNC25-01	TBD	60	13025600	Tournament	IS/Level 2	3050	2581	2570	1185	0	1185
Draconis Combine	BattleMech	Lancelot LNC25-02	TBD	60	4769600	Tournament	IS/Level 1	3025/3026	2864	3025	968	0	968
Draconis Combine	BattleMech	Locust IIC	TBD	25	2044793	Tournament	Clan/Level 2	3055/3058	2950*	2950	975	0	975
Draconis Combine	BattleMech	Lynx LNX-9C	TBD	55	10164643	Tournament	IS/Level 2	3055/3058	3058	Present	1478	0	1478
Draconis Combine	BattleMech	Lynx LNX-9Q	TBD	55	10105743	Tournament	IS/Level 2	3055/3058	3058	Present	1525	0	1525
Draconis Combine	BattleMech	Lynx LNX-9R	TBD	55	10260743	Tournament	IS/Level 2	3055/3058	3058	Present	1529	0	1529
Draconis Combine	BattleMech	Mad Cat Mk II	TBD	90	24017900	Tournament	Clan/Level 2	3067	3062	Present	2877	0	2877
Draconis Combine	BattleMech	Maelstrom MTR-5K	TBD	75	18016688	Tournament	IS/Level 2	3055/3058	3058	Present	1490	0	1490
Draconis Combine	BattleMech	Maelstrom MTR-6K	TBD	75	18490062	Tournament	IS/Level 2	RS3058U	3067*	Present	1549	0	1549
Draconis Combine	BattleMech	Marauder II MAD-4K	TBD	100	TBD	Tournament	IS/Level 3	RSPPU	3071	Present	NA	NA	NA
Draconis Combine	BattleMech	Marauder II MAD-4S	TBD	100	19002000	Tournament	IS/Level 2	3067	3067	Present	2225	0	2225
Draconis Combine	BattleMech	Marauder MAD-5D	TBD	75	15828750	Tournament	IS/Level 2	3050	3050	3050	1504	0	1504
Draconis Combine	BattleMech	Mauler MAL-1R	TBD	90	18179200	Tournament	IS/Level 2	3050	3039	3050	1113	0	1113
Draconis Combine	BattleMech	Mauler MAL-3R	TBD	90	19433675	Tournament	IS/Level 2	Upgrades	3060	Present	1698	202	1900
Draconis Combine	BattleMech	Mauler MAL-C	TBD	90	18872700	Tournament	IS/Level 2	3060	3060	Present	1133	261	1394
Draconis Combine	BattleMech	Mist Lynx (Koshi) Prime	TBD	25	4684637	Tournament	Clan/Level 2	3050	2950*	Present	895	0	895
Draconis Combine	BattleMech	Mongoose MON-66	TBD	25	1979480	Tournament	IS/Level 2	3050	2660	2750	633	0	633
Draconis Combine	BattleMech	Mongoose MON-67	TBD	25	1885730	Tournament	IS/Level 1	3025/3026	2950*	3025	612	0	612
Draconis Combine	BattleMech	Naginata NG-C3A	TBD	95	12910170	Tournament	IS/Level 2	3055/3058	3055	Present	1734	252	1986
Draconis Combine	BattleMech	Naginata NG-C3B	TBD	95	16217858	Tournament	IS/Level 2	3055U	3067	Present	1693	222	1915
Draconis Combine	BattleMech	Naginata NG-C3C	TBD	95	10923120	Tournament	IS/Level 2	3055U	3067	Present	1962	252	2214
Draconis Combine	BattleMech	Ninja-To NJT-2	TBD	65	16080900	Tournament	IS/Level 2	3067	3062	Present	1171	177	1348
Draconis Combine	BattleMech	Ninja-To NJT-3	TBD	65	15915900	Tournament	IS/Level 2	3067	3067	Present	1279	167	1446
Draconis Combine	BattleMech	No-Dachi NDA-1K	TBD	70	17628886	Tournament	IS/Level 2	DCMS	3058	Present	1183	0	1183
Draconis Combine	BattleMech	No-Dachi NDA-2K	TBD	70	17832461	Tournament	IS/Level 2	3067	3059	Present	1216	0	1216
Draconis Combine	BattleMech	No-Dachi NDA-2KO	TBD	70	17704961	Tournament	IS/Level 2	3067	3060	Present	1303	0	1303
Draconis Combine	BattleMech	O-Bakemono OBK-M10	TBD	80	18093451	Advanced	IS/Level 2	3055/3058	3058	Present	1027	0	1027
Draconis Combine	BattleMech	O-Bakemono OBK-M11	TBD	80	7666650	Tournament	IS/Level 2	RS3058U	3067*	Present	1538	192	1730
Draconis Combine	BattleMech	O-Bakemono OBK-M12	TBD	80	9877050	Tournament	IS/Level 2	RS3058U	3067*	Present	1418	192	1610
Draconis Combine	BattleMech	Owens OW-1	TBD	35	7545377	Tournament	IS/Level 2	3055/3058	3056	Present	695	57	752
Draconis Combine	BattleMech	Owens OW-1A	TBD	35	7385909	Tournament	IS/Level 2	3055/3058	3056	Present	551	32	583
Draconis Combine	BattleMech	Owens OW-1B	TBD	35	7713284	Tournament	IS/Level 2	3055/3058	3056	Present	629	41	670
Draconis Combine	BattleMech	Owens OW-1C	TBD	35	7591784	Tournament	IS/Level 2	3055/3058	3056	Present	729	79	808
Draconis Combine	BattleMech	Owens OW-1D	TBD	35	7613721	Tournament	IS/Level 2	3055/3058	3056	Present	526	28	554
Draconis Combine	BattleMech	Owens OW-1E	TBD	35	7887096	Tournament	IS/Level 2	3060	3060	Present	654	56	710
Draconis Combine	BattleMech	Panther PNT-10K	TBD	35	2879911	Tournament	IS/Level 2	3050	3051	3050	706	0	706
Draconis Combine	BattleMech	Panther PNT-9R	TBD	35	2485711	Tournament	IS/Level 1	3025/3026	2759	2750	664	0	664
Draconis Combine	BattleMech	Panther PNT-C	TBD	35	3082411	Tournament	IS/Level 2	3060	3060	Present	696	94	790
Draconis Combine	BattleMech	Phoenix Hawk PXH-1K	TBD	45	3628553	Tournament	IS/Level 1	3025/3026	2950*	3025	872	0	872
Draconis Combine	BattleMech	Phoenix Hawk PXH-3K	TBD	45	8288490	Tournament	IS/Level 2	3050	3050	3050	1204	0	1204
Draconis Combine	BattleMech	Phoenix Hawk PXH-7K	TBD	45	TBD	Tournament	IS/Level 3	RSPPU	3071	Present	NA	NA	NA
Draconis Combine	BattleMech	Quickdraw QKD-5K	TBD	60	5720960	Tournament	IS/Level 2	3050	3050	3050	1170	0	1170
Draconis Combine	BattleMech	Quickdraw QKD-5M	TBD	60	5746560	Tournament	IS/Level 2	3050	3050	3050	1142	0	1142
Draconis Combine	BattleMech	Quickdraw QKD-8K	TBD	60	6244160	Tournament	IS/Level 2	Upgrades	3060	Present	1375	0	1375
Draconis Combine	BattleMech	Quickdraw QKD-C	TBD	60	6052160	Tournament	IS/Level 2	3060	3060	Present	1124	86	1210
Draconis Combine	BattleMech	Raptor RTX1-O	TBD	25	3917449	Tournament	IS/Level 2	3055/3058	3052	Present	655	0	655
Draconis Combine	BattleMech	Raptor RTX1-OA	TBD	25	3918622	Tournament	IS/Level 2	3055/3058	3052	Present	702	0	702
Draconis Combine	BattleMech	Raptor RTX1-OB	TBD	25	4030340	Tournament	IS/Level 2	3055/3058	3052	Present	533	0	533
Draconis Combine	BattleMech	Raptor RTX1-OC	TBD	25	4156512	Tournament	IS/Level 2	3055/3058	3052	Present	780	0	780
Draconis Combine	BattleMech	Raptor RTX1-OD	TBD	25	4228387	Tournament	IS/Level 2	3055/3058	3052	Present	428	45	473
Draconis Combine	BattleMech	Raptor RTX1-OE	TBD	25	3820964	Tournament	IS/Level 2	DCMS	3058	Present	517	0	517
Draconis Combine	BattleMech	Raptor RTX1-OF	TBD	25	4589324	Tournament	IS/Level 2	3060	3060	Present	959	0	959
Draconis Combine	BattleMech	Scorpion SCP-12K	TBD	55	TBD	Tournament	IS/Level 3	RSPPU	3071	Present	NA	NA	NA
Draconis Combine	BattleMech	Sentinel STN-3L	TBD	40	3292030	Tournament	IS/Level 2	3050	2651	2750	614	0	614
Draconis Combine	BattleMech	Sentinel STN-3M	TBD	40	3287480	Tournament	IS/Level 2	3050	3039	3050	655	0	655
Draconis Combine	BattleMech	Sentinel STN-C	TBD	40	3581480	Tournament	IS/Level 2	3060	3060	Present	586	47	633
Draconis Combine	BattleMech	Shadow Hawk SHD-2K	TBD	55	4505283	Tournament	IS/Level 1	3025/3026	2950*	3025	1018	0	1018
Draconis Combine	BattleMech	Shugenja SJA-7D	TBD	75	17745000	Tournament	IS/Level 2	3060	3060	Present	1274	226	1500
Draconis Combine	BattleMech	Spider SDR-5K	TBD	30	2728440	Tournament	IS/Level 1	3025/3026	2950*	3025	433	0	433
Draconis Combine	BattleMech	Spider SDR-5V	TBD	30	2984540	Tournament	IS/Level 1	3025/3026	2650	2750	514	0	514
Draconis Combine	BattleMech	Spider SDR-7M	TBD	30	3115840	Tournament	IS/Level 2	3050	3050	3050	492	0	492
Draconis Combine	BattleMech	Spider SDR-C	TBD	30	3414840	Tournament	IS/Level 2	3060	3060	Present	500	33	533
Draconis Combine	BattleMech	Stormcrow (Ryoken) Prime	TBD	55	14771113	Tournament	Clan/Level 2	3050	2950*	Present	1911	0	1911
Draconis Combine	BattleMech	Strider SR1-O	TBD	40	4732439	Tournament	IS/Level 2	3055/3058	3058	Present	738	0	738
Draconis Combine	BattleMech	Strider SR1-OA	TBD	40	4809439	Tournament	IS/Level 2	3055/3058	3058	Present	613	28	641
Draconis Combine	BattleMech	Strider SR1-OB	TBD	40	4348750	Tournament	IS/Level 2	3055/3058	3058	Present	798	0	798
Draconis Combine	BattleMech	Strider SR1-OBD	TBD	40	4712750	Advanced	IS/Level 3	RS3058U	3067*	Present	1099	0	1099
Draconis Combine	BattleMech	Strider SR1-OC	TBD	40	4716250	Tournament	IS/Level 2	3055/3058	3058	Present	759	75	834
Draconis Combine	BattleMech	Strider SR1-OD	TBD	40	4795439	Tournament	IS/Level 2	3055/3058	3058	Present	713	61	774
Draconis Combine	BattleMech	Strider SR1-OE	TBD	40	4572750	Tournament	IS/Level 2	DCMS	3058	Present	864	0	864
Draconis Combine	BattleMech	Strider SR1-OF	TBD	40	4947250	Tournament	IS/Level 2	3060	3060	Present	878	0	878
Draconis Combine	BattleMech	Sunder SD1-O	TBD	90	27774438	Tournament	IS/Level 2	3055/3058	3058	Present	1381	0	1381
Draconis Combine	BattleMech	Sunder SD1-OA	TBD	90	27911000	Tournament	IS/Level 2	3055/3058	3058	Present	1722	0	1722
Draconis Combine	BattleMech	Sunder SD1-OB	TBD	90	34511125	Tournament	IS/Level 2	3055/3058	3058	Present	1362	161	1523
Draconis Combine	BattleMech	Sunder SD1-OC	TBD	90	28382438	Tournament	IS/Level 2	DCMS	3058	Present	1493	195	1688
Draconis Combine	BattleMech	Sunder SD1-OD	TBD	90	28604500	Tournament	IS/Level 2	3060	3060	Present	1782	0	1782
Draconis Combine	BattleMech	Tai-sho TSH-7S	TBD	85	13738100	Tournament	IS/Level 2	3060	3060	Present	1518	249	1767
Draconis Combine	BattleMech	Talon TLN-5W	TBD	35	6034276	Tournament	IS/Level 2	3055/3058	2670	2750	1030	0	1030
Draconis Combine	BattleMech	Talon TLN-5Z	TBD	35	5322375	Tournament	IS/Level 2	RS3058U	3067*	Present	939	114	1053
Draconis Combine	BattleMech	Tessen TSN-C3	TBD	50	10089000	Tournament	IS/Level 2	3067	3062	Present	1005	140	1145
Draconis Combine	BattleMech	Thorn THE-N	TBD	20	1653120	Tournament	IS/Level 2	3050	2490	2570	484	0	484
Draconis Combine	BattleMech	Thug THG-10E	TBD	80	7760641	Tournament	IS/Level 1	3025/3026	2835	3025	1203	0	1203
